time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.44232986442e-06,6.45234127161e-07,10.005903975,0.000469716586393,0.0017143528457,0.0,-0.000246915828161,5.27552439624e-05,0.196785035003,0.020114646813,0.0578378761408,0.0,465.59674737089296,470.0993853656667,464.5555548087451,466.129750598751
0.12000000000000001,-7.12946243214e-05,1.93556891441e-05,10.0225927261,0.00137772427984,0.00490284882187,0.0,-0.00238774657331,0.000691426543193,0.359467703517,0.00262135271006,0.0415394446725,0.0,457.3262929940538,456.02820266124957,456.85159637453864,455.45479334962414
0.18,-0.000343465114567,9.50060042766e-05,10.0505503343,0.00180772855056,0.00711605166011,0.0,-0.00696607416357,0.00186650473946,0.572368109382,0.0149841502856,0.0254177835351,0.0,472.1804995115115,470.93586673657154,471.0316923166561,471.98653598961613
0.23999999999999996,-0.000918663261259,0.000249504509363,10.0884699523,0.00317888841379,0.00876953696678,0.0,-0.0123736781244,0.00340589051578,0.691552507051,0.035187022523,0.0315270508251,0.0,443.7153442800367,444.2167157782159,441.8231246286456,443.4854527229101
0.3,-0.00184074504158,0.00052552430967,10.1319990033,0.00625326483381,0.0102430810737,0.0,-0.0185315079985,0.00605773858507,0.759370132451,0.0720268256624,0.00456894144565,0.0,427.7749705259378,425.4736228945847,425.96873349892013,429.10866147484404
0.36000000000000004,-0.00319945886541,0.00105796350909,10.1838689843,0.010248366749,0.0106178199496,0.0,-0.0267960008605,0.0121848283635,0.96947029692,0.0525449058444,0.00940435049199,0.0,470.72377815964825,471.09766164460933,472.18235708902455,470.68016122635663
0.4200000000000001,-0.00505710652728,0.00204066679377,10.2475984472,0.0134965500474,0.0117917490226,0.0,-0.0352294815322,0.0209371083841,1.15467081535,0.0571420533121,0.0345975440051,0.0,462.67963843816085,464.6585886175318,464.41206710578734,464.77427043419215
0.48000000000000015,-0.00740854037349,0.00357235139115,10.3187146791,0.01687197974,0.0141219667193,0.0,-0.0433640493546,0.0304455827364,1.21579915739,0.0544266797699,0.0461933204242,0.0,424.80350977504025,425.7973830215711,426.3781312933601,426.14841257923575
0.5400000000000001,-0.0103097041749,0.00575643197562,10.3944438124,0.0202581841912,0.0170010550524,0.0,-0.0536253225731,0.0426910793033,1.30839270043,0.0601794943276,0.0513454210006,0.0,436.71885245057103,437.14977517247866,435.0053579240953,435.4890129028955
0.6000000000000002,-0.0138800288497,0.0087378323363,10.4753582492,0.0236793430756,0.0200956354168,0.0,-0.0656898940887,0.0570360014155,1.38864703205,0.049804889466,0.0520340549466,0.0,431.7197692275416,431.77966023805294,433.47380163706623,432.60348929414215
0.6600000000000003,-0.0182820858964,0.0126995595462,10.5632854021,0.0263697283234,0.0227882184038,0.0,-0.0813682093666,0.0753313663211,1.54204771291,0.0323838402839,0.0240321819268,0.0,457.00167279131267,454.76544779554865,455.89968012989874,454.5067953351463
0.7200000000000003,-0.0236568225951,0.0177901824601,10.6594963152,0.028415453628,0.0237674861696,0.0,-0.0979221345296,0.0945615151394,1.66480147813,0.0373152364626,-0.00726081052349,0.0,448.1609075882503,445.61031598812605,445.9943371266886,446.39736622396555
0.7800000000000004,-0.0301560050206,0.0242225690453,10.7680396911,0.0306354572041,0.0229221694649,0.0,-0.118631302073,0.120127635349,1.95285597034,0.0363622844938,-0.0334661318064,0.0,496.6201400447463,494.6944972191174,495.8763333863293,495.80681170518017
0.8400000000000004,-0.0377824034904,0.0321290877009,10.890068709,0.0327103543838,0.021108330767,0.0,-0.135364390747,0.14365061783,2.11448829254,0.0307594904979,-0.0244397045827,0.0,459.5235255872903,460.23818052634175,460.0453923183317,459.60202854180505
0.9000000000000005,-0.0463143518378,0.0413976465384,11.0189331887,0.0344771627105,0.0195316744589,0.0,-0.148884428394,0.165472131421,2.18086513663,0.0266834515025,-0.0302324848932,0.0,432.0474264909227,431.5585994584804,429.7264023689823,429.3810577866155
0.9600000000000005,-0.0556195576045,0.0519987625958,11.1514786908,0.0357525194682,0.0174681586542,0.0,-0.161103940234,0.188034412035,2.23720616959,0.00725730745263,-0.0443756386933,0.0,428.01454740869247,426.80862982088206,428.8259571385489,427.17269627300584
1.0200000000000005,-0.0656123436545,0.0639671534889,11.2872144541,0.0359054142859,0.0151903502939,0.0,-0.171756440988,0.21093749188,2.28722162781,-0.00910032798752,-0.0275118954282,0.0,425.68215335760055,427.1219107580475,426.0642224097136,424.66342829849384
1.0800000000000005,-0.0762567289203,0.0774363707251,11.4294877069,0.0358457841047,0.0136543600798,0.0,-0.182873672257,0.237992979584,2.45487676669,0.0116365237354,-0.0220269167777,0.0,462.48298783635386,462.9146884728278,462.4472737822624,464.0777948745844
1.1400000000000006,-0.0875155407563,0.0924808300811,11.580396269,0.0367209182305,0.0123089127854,0.0,-0.192277112664,0.26356148119,2.57514175805,0.0199126768823,-0.0232305179812,0.0,449.4935390707674,449.39597053743097,448.67848444600577,449.3497733113879
1.2000000000000006,-0.0993516740233,0.109208488685,11.7419972165,0.0373923812627,0.0108501960552,0.0,-0.202080623105,0.294134479247,2.81100084977,-0.0186364471821,-0.0265673235928,0.0,484.85359750006467,484.6028199714989,485.3519374021528,482.4501163274839
1.2600000000000007,-0.111722260007,0.127715760986,11.9161380439,0.0360336831398,0.00936899018036,0.0,-0.210092787197,0.322615908195,2.9932390733,-0.0321923843646,-0.0211689482269,0.0,468.3715636374436,468.79116012232714,471.4520941117998,470.4035105034414
